order_id,order_date,ship_date,customer_id,region,product_category,product_name,quantity,unit_price,discount,revenue,profit
1127,2024-02-18,2024-02-23,1518,Central,Office Supplies,Marker,12,3.25,0.0,39.0,11.3
1460,2024-07-28,2024-07-29,1173,Central,Office Supplies,Marker,14,3.25,0.0,45.5,8.14
861,2022-01-22,2022-01-28,1136,West,Furniture,Couch,1,950.0,0.12,836.0,-127.84
1295,2022-03-23,2022-03-26,604,East,Office Supplies,Stapler,7,8.5,0.12,52.36,14.4
1131,2022-01-01,2022-01-06,1192,Central,Office Supplies,Pen,8,1.5,0.0,12.0,2.08
1096,2023-03-17,2023-03-20,93,South,Technology,Laptop,3,1200.0,0.0,3600.0,1094.7
1725,2023-10-23,2023-10-29,753,South,Office Supplies,Folder,14,2.0,0.0,28.0,9.05
1045,2023-04-22,2023-04-23,1086,East,Technology,Monitor,7,280.0,0.0,1960.0,664.34
1639,2022-11-23,2022-11-29,1777,South,Technology,Mouse,6,19.0,0.24,86.64,24.51
122,2024-01-20,2024-01-25,1380,West,Office Supplies,Marker,6,3.25,0.11,17.36,4.28
467,2023-04-05,2023-04-07,1574,Central,Furniture,Cabinet,3,300.0,0.0,900.0,198.41
1239,2023-11-05,2023-11-06,365,Central,Technology,Laptop,5,1200.0,0.2,4800.0,1191.29
331,2024-08-21,2024-08-25,1008,Central,Office Supplies,Envelope,5,0.75,0.0,3.75,-0.71
1483,2024-06-02,2024-06-05,1560,East,Office Supplies,Marker,12,3.25,0.0,39.0,8.57
88,2023-08-12,2023-08-18,116,South,Furniture,Chair,9,90.0,0.0,810.0,237.8
1397,2024-04-29,2024-04-30,1784,West,Furniture,Table,9,430.0,0.24,2941.2,569.08
1124,2023-02-01,2023-02-07,1728,East,Technology,Mouse,6,49.0,0.0,294.0,59.63
872,2022-08-31,2022-09-01,1855,Central,Technology,Laptop,11,1200.0,0.0,13200.0,3958.23
1688,2022-07-08,2022-07-13,1188,West,Furniture,Chair,6,90.0,0.22,421.2,78.16
131,2022-11-08,2022-11-13,873,Central,Technology,Laptop,4,1200.0,0.05,4560.0,908.25
1686,2023-12-08,2023-12-13,1391,Central,Office Supplies,Paper,6,12.0,0.0,72.0,11.05
1333,2022-07-07,2022-07-13,1152,East,Office Supplies,Paper,4,12.0,0.0,48.0,14.11
770,2024-08-28,2024-09-01,1849,Central,Furniture,Bookshelf,10,220.0,0.12,1936.0,529.65
344,2022-12-16,2022-12-21,1483,West,Furniture,Bookshelf,4,220.0,0.09,800.8,-231.33
1516,2023-12-30,2023-12-31,1528,Central,Office Supplies,Pen,10,3.0,0.0,30.0,5.79
1438,2024-03-20,2024-03-25,913,South,Technology,Mouse,10,25.0,0.0,250.0,71.87
806,2023-11-17,2023-11-19,1852,Central,Office Supplies,Notebook,4,6.0,0.0,24.0,6.46
386,2023-04-28,2023-05-03,1132,East,Furniture,Cabinet,9,300.0,0.0,2700.0,602.71
1216,2022-05-05,2022-05-11,1573,West,Technology,Mouse,1,49.0,0.1,44.1,10.48
956,2024-09-12,2024-09-16,1301,East,Office Supplies,Envelope,15,0.75,0.0,11.25,2.97
277,2024-04-01,2024-04-03,455,South,Furniture,Chair,2,90.0,0.09,163.8,40.73
1185,2023-03-16,2023-03-22,1692,Central,Furniture,Bookshelf,2,220.0,0.0,440.0,122.48
460,2023-02-10,2023-02-16,978,East,Furniture,Bookshelf,11,220.0,0.0,2420.0,450.59
1338,2023-07-01,2023-07-07,194,East,Office Supplies,Folder,15,2.0,0.21,23.7,6.12
22,2022-03-25,2022-03-26,1798,East,Furniture,Table,6,430.0,0.11,2296.2,551.22
253,2023-08-11,2023-08-17,987,East,Office Supplies,Paper,16,12.0,0.0,192.0,46.5
748,2022-06-11,2022-06-12,1694,South,Office Supplies,Stapler,9,8.5,0.13,66.55,16.23
857,2022-07-17,2022-07-23,610,South,Technology,Printer,3,350.0,0.25,787.5,256.96
1585,2024-05-12,2024-05-15,1692,Central,Furniture,Chair,11,180.0,0.0,1980.0,621.18
475,2024-04-14,2024-04-16,1204,Central,Furniture,Chair,9,135.0,0.01,1202.85,331.88
1083,2022-12-13,2022-12-16,951,West,Technology,Laptop,5,1100.0,0.0,5500.0,1613.14
511,2024-08-21,2024-08-27,537,South,Office Supplies,Pen,7,3.0,0.12,18.48,2.93
1706,2023-01-19,2023-01-21,1715,East,Furniture,Table,11,430.0,0.0,4730.0,1413.32
1500,2022-01-12,2022-01-14,1552,East,Technology,Printer,4,350.0,0.19,1134.0,280.36
700,2023-04-06,2023-04-10,278,West,Office Supplies,Pen,11,3.0,0.04,31.68,6.77
976,2024-07-24,2024-07-27,248,East,Office Supplies,Stapler,10,8.5,0.0,85.0,15.13
1807,2024-06-09,2024-06-13,1579,West,Furniture,Table,4,380.0,0.0,1520.0,250.86
190,2022-10-14,,1419,Central,Office Supplies,Marker,6,3.25,0.15,16.58,2.64
958,2022-07-09,2022-07-10,1441,South,Furniture,Couch,2,950.0,0.06,1786.0,325.69
687,2022-08-26,2022-08-28,647,West,Office Supplies,Marker,11,3.25,0.0,35.75,5.58
958,2022-07-09,2022-07-13,1441,East,Office Supplies,Pen,5,3.0,0.0,15.0,4.45
563,2023-08-21,2023-08-24,1669,West,Technology,Mouse,4,49.0,0.0,196.0,39.15
1900,2024-03-27,2024-04-02,1161,Central,Office Supplies,Marker,16,3.25,0.0,52.0,11.63
1591,2022-11-07,2022-11-13,870,East,Office Supplies,Pen,9,1.5,0.0,13.5,4.25
1268,2023-01-30,2023-02-02,1511,Central,Office Supplies,Envelope,12,0.75,0.22,7.02,1.21
832,2024-06-14,2024-06-20,142,Central,Technology,Printer,8,350.0,0.0,2800.0,887.93
1529,2023-08-31,2023-09-06,980,West,Furniture,Table,8,380.0,0.0,3040.0,844.84
1155,2023-03-26,2023-03-30,1843,Central,Office Supplies,Stapler,6,8.5,0.08,46.92,10.25
1509,2023-04-02,2023-04-05,160,East,Office Supplies,Pen,9,1.5,0.08,12.42,2.16
1843,2023-01-26,2023-01-31,1615,Central,Furniture,Bookshelf,10,220.0,0.15,1870.0,314.72
647,2024-08-20,2024-08-21,1585,Central,Furniture,Table,1,380.0,0.05,361.0,78.37
21,2022-10-30,2022-10-31,869,West,Furniture,Desk,6,450.0,0.07,2511.0,447.13
841,2024-05-02,2024-05-08,384,Central,Office Supplies,Paper,8,12.0,0.0,96.0,19.54
167,2024-10-01,2024-10-02,553,South,Office Supplies,Envelope,8,0.75,0.0,6.0,0.96
1298,2024-12-07,2024-12-10,511,West,Technology,Printer,2,300.0,0.0,600.0,161.4
